廠商\政黨,中國國民黨,民主進步黨,時代力量,無黨及其他
中投汽車修理有限公司,0.0,0.0,0.0,0.0
中日飼料企業股份有限公司,0.0,0.0,0.0,0.0
中明鋼鐵股份有限公司,115000.0,0.0,0.0,0.0
中星建設股份有限公司,0.0,0.0,0.0,0.0
中森建設股份有限公司,0.0,0.0,0.0,0.0
中楠企業股份有限公司,0.0,0.0,0.0,0.0
中榮康國際股份有限公司,0.0,0.0,0.0,0.0
中榮盛有限公司,0.0,0.0,0.0,0.0
中榮電瓷工業股份有限公司,0.0,0.0,0.0,0.0
中榮電瓷工業（股）公司,0.0,0.0,0.0,0.0
中樂電器有限公司,0.0,0.0,0.0,0.0
中欣企業社,0.0,0.0,0.0,0.0
中欣室內裝修設計股份有限公司,0.0,0.0,0.0,0.0
中正東路加油站股份有限公司,0.0,0.0,0.0,0.0
中洲建設有限公司,200000.0,50000.0,0.0,0.0
中港大飯店股份有限公司,0.0,0.0,0.0,0.0
中港興食品股份有限公司,0.0,0.0,0.0,0.0
中瀛鐵工廠,0.0,0.0,0.0,0.0
中環股份有限公司,0.0,0.0,0.0,0.0
中盛特殊鋼料行,0.0,0.0,0.0,0.0
中石化工程股份有限公司,0.0,0.0,0.0,0.0
中石化綠能科技股份有限公司,0.0,0.0,0.0,0.0
中礱營造有限公司,0.0,100000.0,0.0,0.0
中福國際股份有限公司,0.0,0.0,0.0,0.0
中福營造有限公司,0.0,0.0,0.0,0.0
中禾興鋼鐵企業有限公司,0.0,0.0,0.0,0.0
中科國際物流股份有限公司,2000000.0,1600000.0,0.0,0.0
中科數位影音有限公司,10000.0,0.0,0.0,0.0
中租迪和股份有限公司,0.0,0.0,0.0,0.0
中立食品工業股份有限公司,60000.0,0.0,0.0,0.0
中美兄弟製藥股份有限公司,0.0,0.0,0.0,0.0
中美聯合實業股份有限公司,0.0,0.0,0.0,0.0
中聯不動產投資顧問股份有限公司,0.0,0.0,0.0,0.0
中航物流股份有限公司,0.0,0.0,0.0,0.0
中良工業股份有限公司,268000.0,0.0,0.0,0.0
中英醫療社團法人中英醫院,0.0,0.0,0.0,0.0
中華全球石油股份有限公司,0.0,0.0,0.0,0.0
中華國際通訊網路股份有限公司,0.0,0.0,0.0,0.0
中華工貿實業有限公司,0.0,0.0,0.0,0.0
中華映管(股)公司,0.0,0.0,0.0,0.0
中華映管股份有限公司,0.0,0.0,0.0,0.0
中華民國婦女聯合會,0.0,0.0,0.0,0.0
中華民國建築師公會全國聯合會,0.0,0.0,0.0,0.0
中華民國稅務會計記帳代理業職業工會全,0.0,0.0,0.0,0.0
中華民國結構工程技師公會全國聯合會,0.0,0.0,0.0,0.0
中華民國記帳及報稅代理業務人公會全國,0.0,0.0,0.0,0.0
中華民國醫事簡檢驗師公會全國聯合國,0.0,0.0,0.0,0.0
中華汽車工業股份有限公司,0.0,0.0,0.0,0.0
中華汽車工業股份有限公司楊梅廠,0.0,0.0,0.0,0.0
中華票券金融公司,0.0,0.0,0.0,0.0
中華精工光電股份有限公司,200000.0,0.0,0.0,0.0
中華翻譯社,0.0,0.0,0.0,0.0
中華製衣廠,0.0,0.0,0.0,0.0
中華警安保全股份有限公司,0.0,0.0,0.0,0.0
中華資產鑑定中心股份有限公司,0.0,0.0,0.0,0.0
中華高電科技有限公司,0.0,0.0,0.0,0.0
中菱汽車租賃股份有限公司,0.0,0.0,0.0,0.0
中衛科技股份有限公司,0.0,0.0,0.0,0.0
中詠企業有限公司,0.0,0.0,0.0,0.0
中誠企業股份有限公司,0.0,0.0,0.0,0.0
中誠保險經紀人股份有限公司,0.0,0.0,0.0,0.0
中證實業有限公司,0.0,0.0,0.0,0.0
中豪國際有限公司,0.0,0.0,0.0,0.0
中豪實業股份有限公司,0.0,0.0,0.0,0.0
中貳鑄造事業資源共同清理體系(股),0.0,0.0,0.0,0.0
中路鋼鐵股份有限公司,0.0,200000.0,0.0,0.0
中連國際實業股份有限公司,0.0,0.0,0.0,0.0
中部調頻廣播股份有限公司,0.0,0.0,0.0,0.0
中鋼焊材廠股份有限公司,0.0,150000.0,0.0,0.0
中錄國際開發有限公司,0.0,0.0,0.0,0.0
中鎂汽車有限公司,0.0,0.0,0.0,0.0
中鑫開發實業有限公司,0.0,20000.0,0.0,0.0
中閎工業股份有限公司,0.0,0.0,0.0,0.0
中陽物流股份有限公司,0.0,2000000.0,0.0,0.0
